name,trise [C],dtemp [C],ids [A],vgs [V],vds [V],vbs [V],vgd [V],vdb [V],vgb [V],vth [V],vdsat [V],gm [S],gds [S],gmbs [S],betaeff [A/V^2],pro_Gamma,cjd [F],cjs [F],cgg [F],cgd [F],cgs [F],cgb [F],cdg [F],cdd [F],cds [F],cdb [F],csg [F],csd [F],css [F],csb [F],cbg [F],cbd [F],cbs [F],cbb [F],covlgs [F/m],covlgd [F/m],covlgb [F/m],cggbo [F],cgdbo [F],cgsbo [F],cbgbo [F],cbdbo [F],cbsbo [F],cdgbo [F],cddbo [F],cdsbo [F],ron [Ohm],id [A],ig [A],is [A],ib [A],ibulk [A],pwr [W],gmoverid [1/V],rdeff [Ohm],rseff [Ohm],rgbd [Ohm],igidl [A],igisl [A],igdt [A],igd [A],igs [A],igb [A],igbacc [A],igbinv [A],igcs [A],igcd [A],isub [A],gbs [S],gbd [S],qg [Coul],qd [Coul],qs [Coul],qb [Coul],qjd [Coul],qjs [Coul],qgdovl [Coul],qgsovl [Coul],qgi [Coul],qdi [Coul],qinv [Coul],qsi [Coul],qbi [Coul],vfbeff [V],ide [A],ige [A],ise [A],ibe [A],idb [A],isb [A],vsb [V],gmb [S],vgt [V],vth_drive [V],vdss [V],vsat_marg [V],vdsat_marg [V],self_gain,rout [Ohm],beff [A/V^2],fug [Hz],ft [Hz],rgate [Ohm],vearly [V],Tk [K],Dtsh [K],Iavl [A],vth0 [V],go [S],co [F],cm [F],cmb [F],cmx [F],tau1 [s],fqslim [Hz],gmoveri [1/V],ueff,OPdef,Ctype,SDint,region,reversed,SDop
I0.NM0,0,0,23.11e-6,250.1e-3,2.355,0,-2.105,2.355,250.1e-3,585.7e-3,47.51e-3,631.6e-6,11.42e-6,48.83e-6,1.109,0,22.78e-15,49.99e-15,56.48e-15,-21.16e-15,-24.07e-15,-11.26e-15,-21.16e-15,21.16e-15,181.3e-21,-14.38e-21,-24.64e-15,-3.479e-18,24.78e-15,-136.2e-18,-10.68e-15,1.148e-18,-714.1e-18,11.4e-15,22.99e-15,21.16e-15,0,12.33e-15,2.325e-18,-1.072e-15,-10.68e-15,1.148e-18,-714.1e-18,-173.8e-21,6.888e-21,181.3e-21,101.9e3,24.7e-6,nan,nan,nan,-1.581e-6,58.17e-6,27.33,9.8e-3,9.8e-3,0,1.532e-6,0,-12.3e-9,-12.33e-9,15.7e-12,4.588e-18,2.537e-18,2.052e-18,5.125e-12,4.923e-12,48.78e-9,1.01e-12,1e-12,-24.43e-15,117.8e-15,-5.862e-15,-87.46e-15,-72.39e-15,0,-2.234e-15,654.7e-18,13.57e-15,2.234e-15,0,-736.6e-18,-15.07e-15,-725e-3,24.7e-6,-12.3e-9,-23.11e-6,-1.581e-6,2.355e-12,-0,-0,48.83e-6,-335.5e-3,nan,47.51e-3,2.307,nan,55.29,87.54e3,438.8e-6,1.78e9,nan,0,2.163,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.2e-3,2147483647,2147483647,2147483647,0,0,-1
I0.NM3,0,0,21.8e-3,800.8e-3,1.301,-1.999,-500e-3,3.3,2.8,689.1e-3,133.6e-3,191.2e-3,23.44e-3,4.904e-3,1.553,0,25.85e-15,32.7e-15,148.5e-15,-21.96e-15,-121.9e-15,-4.671e-15,-29.09e-15,29.07e-15,22.95e-18,-913.1e-21,-98.69e-15,-5.92e-15,106.9e-15,-2.282e-15,-20.74e-15,-1.186e-15,14.97e-15,6.953e-15,30.73e-15,29.06e-15,0,88.72e-15,7.101e-15,-91.15e-15,-20.74e-15,-1.186e-15,14.97e-15,-27.8e-18,5.759e-18,22.95e-18,59.67,21.8e-3,nan,nan,nan,-1.554e-6,28.36e-3,8.769,7e-3,7.525e-3,0,525.6e-36,0,2.463e-9,-118.4e-12,394.6e-12,4.46e-15,2.142e-21,4.46e-15,1.156e-9,1.031e-9,1.554e-6,1e-12,1e-12,71.37e-15,134.4e-15,48.05e-15,-253.9e-15,-119.7e-15,-86.6e-15,-1.076e-15,2.741e-15,63.15e-15,1.071e-15,0,-16.67e-15,-47.55e-15,-725e-3,21.8e-3,2.463e-9,-21.8e-3,-1.554e-6,3.3e-12,2e-12,1.999,4.904e-3,111.8e-3,nan,133.6e-3,1.167,nan,8.154,42.65,3.49,204.9e9,nan,0,930e-3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.31e-3,2147483647,2147483647,2147483647,2,0,-1
I0.NM2,0,0,21.78e-3,650e-3,1.999,0,-1.349,1.999,650e-3,585.3e-3,109.1e-3,178.8e-3,7.146e-3,17.3e-3,1.464,0,31.05e-15,67.32e-15,143.5e-15,-28.27e-15,-106.9e-15,-8.353e-15,-28.44e-15,28.43e-15,8.929e-18,-660.6e-21,-93.27e-15,-137.8e-18,97.56e-15,-4.152e-15,-21.83e-15,-20.77e-18,9.348e-15,12.51e-15,30.73e-15,28.43e-15,0,84.39e-15,156.9e-18,-76.19e-15,-21.83e-15,-20.77e-18,9.348e-15,-10.01e-18,1.737e-18,8.929e-18,91.79,21.8e-3,nan,nan,nan,-20.42e-6,43.58e-3,8.207,7e-3,7.525e-3,0,2.973e-9,0,-1.419e-9,-2.306e-9,219.2e-12,27.22e-18,1.94e-18,25.28e-18,349.5e-12,318.3e-12,20.42e-6,1.014e-12,1e-12,19.05e-15,122.1e-15,-31.4e-15,-109.8e-15,-83.05e-15,0,-2.229e-15,2.227e-15,38.16e-15,2.228e-15,0,-13.64e-15,-26.74e-15,-725e-3,21.8e-3,-1.419e-9,-21.78e-3,-20.42e-6,2e-12,-0,-0,17.3e-3,64.74e-3,nan,109.1e-3,1.89,nan,25.02,139.9,10.4,198.2e9,nan,0,3.051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.98e-3,2147483647,2147483647,2147483647,2,0,-1
I0.NM1,0,0,24.74e-6,445.2e-3,945.2e-3,-2.355,-500e-3,3.3,2.8,734.2e-3,51.66e-3,666e-6,82.08e-6,27.42e-6,1.618,0,25.85e-15,30.91e-15,69.88e-15,-28.76e-15,-33.98e-15,-7.134e-15,-29.07e-15,29.06e-15,2.004e-18,-90.61e-21,-33.73e-15,-305.2e-18,34.18e-15,-143.2e-18,-7.084e-15,619.3e-21,-194e-18,7.277e-15,30.71e-15,29.06e-15,0,10.1e-15,304.6e-18,-3.272e-15,-7.084e-15,619.3e-21,-194e-18,-1.908e-18,-5.176e-21,2.004e-18,38.21e3,24.74e-6,nan,nan,nan,-252e-12,23.38e-6,26.92,7e-3,7.525e-3,0,5.103e-36,0,237.3e-12,-118.4e-12,82.17e-12,1.021e-15,2.044e-21,1.021e-15,139.8e-12,133.8e-12,252e-12,1e-12,1e-12,44.21e-15,134.4e-15,84.06e-15,-262.7e-15,-119.7e-15,-97.9e-15,-1.077e-15,1.53e-15,45.71e-15,1.076e-15,0,-1.675e-15,-45.11e-15,-725e-3,24.74e-6,237.3e-12,-24.74e-6,-257.6e-12,3.3e-12,2.355e-12,2.355,27.42e-6,-289e-3,nan,51.66e-3,893.5e-3,nan,8.115,12.18e3,592.4e-6,1.517e9,nan,0,301.4e-3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.29e-3,2147483647,2147483647,2147483647,0,0,-1
