/IN_AMP X,/IN_AMP Y,/OUT_AMP X,/OUT_AMP Y
0,0.0008994778077062,0,0
4.971427525610693e-13,0.0008505292794792001,4.971427525610693e-13,1.109504441973517e-10
1.491428257683208e-12,0.0007526322230252002,1.491428257683208e-12,2.425071293746536e-09
3.479999267927486e-12,0.0005568381101172004,3.479999267927486e-12,2.772991700577484e-08
5.376328114324006e-12,0.0003701261333513078,5.376328114324006e-12,1.59768422886038e-07
9.168985807117046e-12,-3.297820180477376e-06,9.168985807117046e-12,2.849691953002799e-06
1.419987751894352e-11,-0.0004803690095947439,1.419987751894352e-11,2.509176135348643e-05
1.923076923077e-11,-0.0009556613275280001,1.923076923077e-11,9.512510184491081e-05
1.947085881311184e-11,-0.0009293952064445739,1.947085881311184e-11,0.0001001816428763502
2.035098372608988e-11,-0.0008331083650609004,2.035098372608988e-11,0.0001199514858038699
2.154583746283246e-11,-0.0007023897698592975,2.154583746283246e-11,0.0001507166519446973
2.246501025304308e-11,-0.0006018310385358871,2.246501025304308e-11,0.0001773841692997188
2.430335583346432e-11,-0.0004007135758890663,2.430335583346432e-11,0.0002373590326482155
2.79800469943068e-11,1.521349404575226e-06,2.79800469943068e-11,0.0003664678772715371
3.174374738034395e-11,0.0003705595653470307,3.174374738034395e-11,0.0004668904559228133
3.562984881034811e-11,0.0007384162707009435,3.562984881034811e-11,0.000459097932318855
3.704569363594405e-11,0.0008724395385484717,3.704569363594405e-11,0.0004141884894307895
3.846153846154e-11,0.001006462806396,3.846153846154e-11,0.0003408985805295153
3.868711630732115e-11,0.0009788673809236548,3.868711630732115e-11,0.0003261369529189328
3.922836216252428e-11,0.0009126556055263318,3.922836216252428e-11,0.0002885576082481345
3.989395955066339e-11,0.0008312316383128146,3.989395955066339e-11,0.0002364741926993228
4.055172247305355e-11,0.0007507660782289605,4.055172247305355e-11,0.0001787946322821518
4.186724831783388e-11,0.0005898349580612523,4.186724831783388e-11,4.631535515339756e-05
4.449830000739453e-11,0.0002679727177258361,4.449830000739453e-11,-0.0002704207108368067
4.976040338651582e-11,-0.0003232500236538343,4.976040338651582e-11,-0.0009049385803096004
5.769230769231e-11,-0.001046209251453,5.769230769231e-11,-0.001068704034733932
5.79074261878319e-11,-0.001016867856067255,5.79074261878319e-11,-0.001052592946237714
5.896614237178307e-11,-0.0008724627453898416,5.896614237178307e-11,-0.00095602735490174
5.991502951499337e-11,-0.0007430379240706115,5.991502951499337e-11,-0.0008405355438776088
6.081461647539341e-11,-0.0006203374718155843,6.081461647539341e-11,-0.0007068816134919775
6.261379039619349e-11,-0.0003749365673055302,6.261379039619349e-11,-0.0003780946510267252
